frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
1,3.602,252.6,535.1,0.0,0.0,-0.536,1.507,0.050,0.000,0.000,252.6,535.1,498.8,1068.6,0.0,0.0,1.51,0.10,0.69
2,3.930,416.4,533.7,163.9,-1.5,-0.608,1.789,0.045,-0.073,0.282,416.4,533.7,826.1,1063.1,163.9,-1.5,1.79,0.07,0.76
3,3.937,416.4,533.7,0.0,0.0,-0.655,1.978,0.022,-0.047,0.189,416.4,533.7,826.1,1063.1,0.0,0.0,1.98,0.05,0.76
4,3.948,416.4,533.7,0.0,0.0,-0.686,2.101,0.007,-0.030,0.123,416.4,533.7,826.1,1063.1,0.0,0.0,2.10,0.04,0.76
5,3.961,416.4,533.7,0.0,0.0,-0.705,2.181,-0.003,-0.020,0.080,416.4,533.7,826.1,1063.1,0.0,0.0,2.18,0.03,0.76
6,3.972,416.4,533.7,0.0,0.0,-0.718,2.233,-0.010,-0.013,0.052,416.4,533.7,826.1,1063.1,0.0,0.0,2.23,0.02,0.76
7,4.433,374.5,532.6,-41.9,-1.1,-0.726,2.259,-0.004,-0.008,0.027,374.5,532.6,741.2,1061.0,-41.9,-1.1,2.26,0.02,0.65
8,4.437,374.5,532.6,0.0,0.0,-0.731,2.276,-0.001,-0.005,0.017,374.5,532.6,741.2,1061.0,0.0,0.0,2.28,0.02,0.65
9,4.881,353.1,532.2,-21.5,-0.4,-0.731,2.287,0.008,0.000,0.011,353.1,532.2,697.9,1061.9,-21.5,-0.4,2.29,0.02,0.73
10,4.886,353.1,532.2,0.0,0.0,-0.796,2.571,0.028,-0.065,0.284,353.1,532.2,697.9,1061.9,0.0,0.0,2.57,0.01,0.73
11,5.081,417.1,531.6,64.0,-0.6,-0.838,2.755,0.041,-0.042,0.184,417.1,531.6,561.2,1078.3,64.0,-0.6,2.76,0.01,0.67
12,5.087,417.1,531.6,0.0,0.0,-0.865,2.875,0.050,-0.027,0.120,417.1,531.6,561.2,1078.3,0.0,0.0,2.88,0.00,0.67
13,5.098,458.7,536.2,41.6,4.6,-0.861,3.184,0.142,0.004,0.309,458.7,536.2,534.2,1074.1,41.6,4.6,3.18,0.00,0.68
14,5.109,458.7,536.2,0.0,0.0,-0.859,3.384,0.202,0.003,0.201,458.7,536.2,534.2,1074.1,0.0,0.0,3.38,0.00,0.68
15,5.120,458.7,536.2,0.0,0.0,-0.851,3.500,0.256,0.008,0.116,458.7,536.2,534.2,1074.1,0.0,0.0,3.50,0.00,0.68
16,5.581,626.2,536.8,167.5,0.6,-0.846,3.576,0.291,0.005,0.075,626.2,536.8,435.0,1062.7,167.5,0.6,3.58,0.00,0.66
17,5.583,626.2,536.8,0.0,0.0,-0.843,3.625,0.313,0.003,0.049,626.2,536.8,435.0,1062.7,0.0,0.0,3.62,0.00,0.66
18,5.592,626.2,536.8,0.0,0.0,-0.840,3.656,0.328,0.002,0.032,626.2,536.8,435.0,1062.7,0.0,0.0,3.66,0.00,0.66
19,5.603,633.3,536.4,7.0,-0.4,-0.839,3.677,0.338,0.001,0.021,633.3,536.4,429.2,1064.4,7.0,-0.4,3.68,0.00,0.63
20,5.615,633.3,536.4,0.0,0.0,-0.838,3.690,0.344,0.001,0.013,633.3,536.4,429.2,1064.4,0.0,0.0,3.69,0.00,0.63
21,5.625,633.3,536.4,0.0,0.0,-0.838,3.699,0.348,0.001,0.009,633.3,536.4,429.2,1064.4,0.0,0.0,3.70,0.00,0.63
22,6.080,819.3,531.6,186.0,-4.9,-0.836,3.690,0.328,0.002,-0.009,819.3,531.6,594.6,1064.0,186.0,-4.9,3.69,0.01,0.90
23,6.088,819.3,531.6,0.0,0.0,-0.835,3.683,0.315,0.001,-0.006,819.3,531.6,594.6,1064.0,0.0,0.0,3.68,0.01,0.90
24,6.100,820.4,532.8,1.1,1.3,-0.834,3.679,0.306,0.001,-0.004,820.4,532.8,614.4,1057.2,1.1,1.3,3.68,0.02,0.90
25,6.110,820.4,532.8,0.0,0.0,-0.834,3.676,0.300,0.001,-0.003,820.4,532.8,614.4,1057.2,0.0,0.0,3.68,0.02,0.90
26,6.121,820.4,532.8,0.0,0.0,-0.786,3.439,0.298,0.047,-0.236,820.4,532.8,614.4,1057.2,0.0,0.0,3.44,0.04,0.90
27,6.581,735.7,590.2,-84.8,57.4,-0.748,3.304,0.298,0.038,-0.135,735.7,590.2,476.1,939.9,-84.8,57.4,3.30,0.07,0.90
28,6.586,735.7,590.2,0.0,0.0,-0.723,3.221,0.298,0.025,-0.083,735.7,590.2,476.1,939.9,0.0,0.0,3.22,0.08,0.90
29,6.600,735.7,590.2,0.0,0.0,-0.705,3.170,0.300,0.018,-0.051,735.7,590.2,476.1,939.9,0.0,0.0,3.17,0.10,0.90
30,6.608,735.7,590.2,0.0,0.0,-0.692,3.142,0.301,0.012,-0.028,735.7,590.2,476.1,939.9,0.0,0.0,3.14,0.11,0.90
31,6.621,735.7,590.2,0.0,0.0,-0.684,3.128,0.304,0.009,-0.014,735.7,590.2,476.1,939.9,0.0,0.0,3.13,0.12,0.90
32,6.931,758.2,619.4,22.5,29.2,-0.676,3.130,0.303,0.007,0.002,758.2,619.4,420.6,860.4,22.5,29.2,3.13,0.12,0.90
33,6.939,758.2,619.4,0.0,0.0,-0.672,3.134,0.306,0.005,0.004,758.2,619.4,420.6,860.4,0.0,0.0,3.13,0.13,0.90
34,6.950,758.2,619.4,0.0,0.0,-0.727,3.318,0.296,-0.056,0.183,758.2,619.4,420.6,860.4,0.0,0.0,3.32,0.09,0.90
35,6.961,758.2,619.4,0.0,0.0,-0.704,3.262,0.304,0.023,-0.056,758.2,619.4,420.6,860.4,0.0,0.0,3.26,0.11,0.90
36,6.974,758.2,619.4,0.0,0.0,-0.748,3.400,0.294,-0.044,0.138,758.2,619.4,420.6,860.4,0.0,0.0,3.40,0.08,0.90
37,7.431,849.0,647.9,90.8,28.5,-0.715,3.877,0.429,0.033,0.476,849.0,647.9,362.2,819.5,90.8,28.5,3.88,0.07,0.85
38,7.440,849.0,647.9,0.0,0.0,-0.694,4.186,0.516,0.021,0.309,849.0,647.9,362.2,819.5,0.0,0.0,4.19,0.07,0.85
39,7.451,849.0,647.9,0.0,0.0,-0.679,4.386,0.571,0.014,0.200,849.0,647.9,362.2,819.5,0.0,0.0,4.39,0.07,0.85
