frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
1,0.547,1043.5,523.6,0.0,0.0,0.648,2.423,0.219,0.000,0.000,1095.8,626.3,263.1,760.6,0.0,0.0,2.42,-0.00,0.84
2,0.548,1036.7,420.0,-6.8,-103.6,0.655,2.603,1.088,0.007,0.180,1095.8,626.3,263.1,760.6,0.0,0.0,2.60,-0.29,0.83
3,0.549,1122.1,541.8,85.4,121.7,1.258,2.522,0.205,0.604,-0.080,1095.8,626.3,263.1,760.6,0.0,0.0,2.52,-0.44,0.82
4,0.550,1016.1,521.4,-106.0,-20.4,0.471,2.514,0.261,-0.787,-0.009,1095.8,626.3,263.1,760.6,0.0,0.0,2.51,-0.00,0.82
5,0.550,1048.0,611.6,31.9,90.2,0.607,2.472,-0.558,0.136,-0.041,1095.8,626.3,263.1,760.6,0.0,0.0,2.47,0.18,0.84
6,0.595,1061.1,525.9,13.1,-85.7,0.678,2.594,0.028,0.071,0.122,1097.2,627.5,264.4,763.2,1.4,1.3,2.59,0.06,0.84
7,0.637,1047.8,506.0,-13.3,-20.0,0.637,2.551,0.267,-0.041,-0.043,1099.0,627.6,265.4,763.0,1.8,0.1,2.55,-0.14,0.85
8,0.688,1055.1,603.9,7.3,97.9,0.689,2.573,-0.424,0.052,0.022,1103.2,628.4,262.0,764.4,4.2,0.7,2.57,-0.04,0.85
9,0.737,996.7,593.4,-58.4,-10.4,0.330,2.730,-0.462,-0.359,0.157,1108.3,628.2,266.0,766.5,5.1,-0.2,2.73,0.32,0.84
10,0.786,1025.9,599.3,29.2,5.9,0.489,2.602,-0.407,0.159,-0.128,1117.5,630.8,256.7,767.6,9.2,2.6,2.60,-0.00,0.84
11,0.835,989.5,629.2,-36.4,30.0,0.303,2.894,-0.719,-0.186,0.292,1126.3,629.1,247.7,768.4,8.8,-1.7,2.89,0.20,0.84
12,0.885,1093.4,509.8,104.0,-119.5,1.049,2.603,0.494,0.745,-0.291,1142.5,627.3,242.6,769.1,16.2,-1.8,2.60,-0.12,0.83
13,0.935,1200.3,634.7,106.9,124.9,1.697,2.213,-0.415,0.648,-0.390,1166.1,628.6,209.5,767.4,23.6,1.3,2.21,-0.20,0.83
14,0.988,1123.5,539.0,-76.8,-95.7,1.194,2.423,0.331,-0.503,0.210,1178.4,628.8,187.7,767.8,12.3,0.2,2.42,-0.13,0.83
15,1.037,1247.5,798.4,124.0,259.4,1.874,1.964,-1.600,0.680,-0.459,371.2,787.7,735.8,567.2,-807.2,158.9,1.96,0.15,0.83
16,1.087,1133.9,553.2,-113.6,-245.2,1.233,2.297,0.194,-0.641,0.333,371.5,789.5,737.1,571.2,0.3,1.8,2.30,-0.29,0.82
17,1.137,1144.7,521.3,10.7,-31.9,1.336,2.231,0.309,0.103,-0.066,369.8,781.0,732.8,552.9,-1.8,-8.5,2.23,-0.59,0.80
18,1.188,1126.6,481.0,-18.0,-40.3,1.172,2.280,0.698,-0.165,0.049,370.7,782.4,734.6,556.5,0.9,1.4,2.28,-0.08,0.76
19,1.238,1182.5,597.6,55.9,116.6,1.429,2.046,-0.144,0.257,-0.235,369.8,787.2,732.8,566.6,-0.9,4.9,2.05,-0.08,0.73
20,1.285,1101.1,441.9,-81.4,-155.6,0.993,2.098,0.764,-0.436,0.052,370.3,789.8,733.9,571.2,0.6,2.5,2.10,0.59,0.72
21,1.337,1112.4,495.7,11.2,53.8,1.124,2.207,0.403,0.131,0.109,370.6,783.9,735.2,559.6,0.3,-5.8,2.21,0.20,0.75
