frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
1,2.618,902.9,424.2,0.0,0.0,-0.464,2.517,1.029,0.000,0.000,787.6,536.3,207.2,597.6,0.0,0.0,2.52,0.28,0.80
2,2.619,877.8,599.8,-25.1,175.5,-0.670,2.578,-0.408,-0.206,0.061,787.6,536.3,207.2,597.6,0.0,0.0,2.58,0.13,0.77
3,2.620,902.2,409.0,24.4,-190.7,-0.438,2.324,1.079,0.232,-0.254,787.6,536.3,207.2,597.6,0.0,0.0,2.32,0.32,0.83
4,2.661,907.6,418.9,5.4,9.9,-0.416,2.444,1.060,0.022,0.119,782.1,536.9,199.8,602.6,-5.5,0.6,2.44,0.20,0.81
5,2.706,905.9,433.5,-1.8,14.6,-0.451,2.546,0.975,-0.035,0.103,780.8,537.4,198.8,602.2,-1.3,0.4,2.55,-0.00,0.80
6,2.756,910.7,390.4,4.8,-43.1,-0.372,2.313,1.227,0.078,-0.234,774.9,542.2,193.7,614.9,-5.9,4.9,2.31,0.00,0.78
7,2.803,906.9,416.2,-3.8,25.9,-0.398,2.296,1.024,-0.025,-0.017,768.9,584.2,192.0,698.0,-5.9,42.0,2.30,-0.59,0.75
8,2.855,898.3,399.7,-8.7,-16.6,-0.468,2.327,1.159,-0.070,0.032,769.1,568.8,190.2,669.3,0.2,-15.4,2.33,-0.00,0.71
9,2.905,891.5,386.9,-6.8,-12.8,-0.509,2.280,1.215,-0.041,-0.047,767.9,558.9,196.4,649.9,-1.2,-9.9,2.28,-0.00,0.74
10,2.958,894.6,409.4,3.1,22.5,-0.510,2.378,1.100,-0.001,0.098,769.8,540.7,202.7,609.8,1.8,-18.1,2.38,-0.32,0.76
11,3.006,891.4,388.0,-3.2,-21.4,-0.510,2.278,1.217,-0.000,-0.100,768.6,537.6,202.3,607.3,-1.2,-3.2,2.28,-0.29,0.78
12,3.056,891.8,381.5,0.4,-6.5,-0.507,2.288,1.277,0.004,0.009,771.2,534.7,211.4,610.5,2.6,-2.8,2.29,-0.32,0.80
13,3.106,887.6,366.7,-4.2,-14.7,-0.530,2.235,1.357,-0.023,-0.052,769.5,540.6,212.5,622.3,-1.8,5.9,2.24,-0.32,0.76
14,3.156,896.8,406.4,9.2,39.7,-0.485,2.355,1.119,0.045,0.119,766.6,578.4,208.1,702.8,-2.9,37.8,2.35,-0.29,0.75
15,3.206,896.8,353.9,-0.0,-52.5,-0.449,2.177,1.419,0.036,-0.177,763.7,576.1,202.9,698.6,-2.9,-2.3,2.18,-0.29,0.76
16,3.259,886.0,414.2,-10.8,60.3,-0.574,2.372,1.065,-0.125,0.195,755.2,599.7,192.3,751.4,-8.5,23.6,2.37,-0.20,0.75
17,3.354,904.9,385.6,18.9,-28.6,-0.445,2.472,1.347,0.129,0.100,748.3,550.7,178.9,658.8,-6.9,-49.0,2.47,-0.59,0.44
18,3.404,896.4,420.1,-8.5,34.6,-0.477,2.292,0.995,-0.032,-0.180,747.3,556.3,177.1,667.2,-1.0,5.7,2.29,-0.59,0.47
19,3.555,886.1,427.0,-10.3,6.8,-0.534,2.204,0.908,-0.057,-0.087,754.3,595.2,176.7,746.5,7.0,38.8,2.20,-0.59,0.75
20,3.805,908.4,442.0,22.4,15.0,-0.382,2.270,0.819,0.153,0.066,778.7,600.9,188.4,758.3,24.4,5.7,2.27,0.59,0.79
21,3.904,900.1,482.0,-8.3,40.0,-0.480,2.435,0.543,-0.099,0.165,818.8,610.6,256.6,768.9,40.1,9.7,2.43,0.59,0.73
22,3.956,919.0,451.9,18.8,-30.1,-0.326,2.448,0.800,0.155,0.013,820.6,609.7,247.0,765.5,1.9,-0.8,2.45,0.12,0.75
23,4.010,913.3,452.6,-5.7,0.6,-0.369,2.420,0.772,-0.043,-0.028,825.3,610.2,249.8,766.1,4.7,0.5,2.42,0.33,0.75
24,4.056,505.1,994.6,-408.2,542.0,-2.036,1.363,-1.972,-1.667,-1.058,799.9,610.0,204.8,758.1,-25.4,-0.2,1.36,0.59,0.63
25,4.106,918.0,495.2,412.9,-499.4,-0.358,2.602,0.466,1.678,1.239,802.8,611.4,220.3,755.8,2.9,1.4,2.60,0.32,0.75
26,4.155,924.4,496.4,6.4,1.2,-0.289,2.525,0.442,0.068,-0.077,797.7,612.9,238.6,758.7,-5.1,1.5,2.53,0.29,0.73
27,4.208,928.2,491.7,3.8,-4.7,-0.268,2.571,0.497,0.022,0.045,797.1,613.5,246.5,756.6,-0.6,0.6,2.57,0.32,0.76
28,4.259,932.1,517.7,3.9,26.0,-0.224,2.557,0.250,0.044,-0.014,803.8,617.3,253.4,757.5,6.7,3.8,2.56,0.23,0.76
29,4.310,932.9,505.2,0.7,-12.5,-0.215,2.625,0.381,0.009,0.068,811.1,617.9,267.7,754.9,7.3,0.6,2.62,0.16,0.80
30,4.357,941.9,440.7,9.0,-64.5,-0.141,2.501,0.907,0.073,-0.124,816.0,619.2,270.0,755.4,4.9,1.3,2.50,0.05,0.80
31,4.405,924.7,515.7,-17.2,75.0,-0.296,2.566,0.288,-0.155,0.065,837.9,622.5,292.1,756.8,21.9,3.3,2.57,0.12,0.81
32,4.461,929.0,461.9,4.3,-53.8,-0.256,2.565,0.729,0.041,-0.001,837.9,622.5,292.1,756.8,0.0,0.0,2.57,0.06,0.81
33,4.505,933.8,448.6,4.7,-13.3,-0.213,2.521,0.850,0.043,-0.044,890.2,627.9,258.8,767.6,52.2,5.4,2.52,0.29,0.83
34,4.561,931.6,683.5,-2.2,234.9,-0.239,2.760,-1.214,-0.025,0.239,890.2,627.9,258.8,767.6,0.0,0.0,2.76,-0.59,0.83
35,4.610,940.3,552.6,8.7,-130.9,-0.164,2.704,-0.038,0.074,-0.056,917.2,628.9,232.1,772.2,27.0,1.1,2.70,-0.20,0.86
36,4.655,969.3,561.4,29.0,8.8,0.103,2.890,-0.138,0.267,0.187,928.8,632.2,225.5,775.0,11.7,3.3,2.89,-0.59,0.86
37,4.708,964.5,576.7,-4.8,15.4,0.066,2.729,-0.254,-0.037,-0.162,929.5,627.1,223.8,765.3,0.7,-5.1,2.73,-0.07,0.85
38,4.758,972.8,511.8,8.3,-64.9,0.148,2.925,0.347,0.082,0.196,933.8,624.9,214.5,759.6,4.3,-2.2,2.93,-0.42,0.84
39,4.811,1011.1,525.8,38.3,14.0,0.552,2.944,0.227,0.404,0.019,933.8,624.9,214.5,759.6,0.0,0.0,2.94,-0.39,0.83
40,4.860,965.0,584.8,-46.1,59.0,0.086,2.696,-0.311,-0.466,-0.248,940.5,629.0,208.8,767.4,6.8,4.1,2.70,-0.35,0.80
41,4.907,1021.9,487.5,57.0,-97.3,0.621,2.804,0.531,0.535,0.109,955.0,632.1,240.2,771.8,14.5,3.1,2.80,-0.46,0.78
42,4.959,979.9,550.5,-42.0,63.0,0.184,2.589,-0.002,-0.437,-0.215,958.0,633.7,244.2,773.3,3.0,1.6,2.59,-0.52,0.78
43,5.009,938.7,521.2,-41.3,-29.3,-0.187,2.685,0.257,-0.371,0.095,956.3,634.1,244.5,769.5,-1.7,0.4,2.68,-0.29,0.79
44,5.057,1014.0,528.0,75.4,6.8,0.549,2.895,0.217,0.736,0.210,947.9,633.1,235.5,772.7,-8.3,-0.9,2.89,-0.50,0.79
45,5.110,986.6,586.8,-27.5,58.7,0.254,2.673,-0.369,-0.295,-0.221,950.1,633.4,239.4,774.6,2.1,0.3,2.67,-0.44,0.79
46,5.161,1009.3,531.1,22.7,-55.6,0.483,2.774,0.179,0.230,0.100,950.1,633.4,239.4,774.6,0.0,0.0,2.77,-0.50,0.79
47,5.213,991.5,563.1,-17.8,31.9,0.318,2.706,-0.109,-0.165,-0.068,946.4,624.8,245.3,782.2,-3.7,-8.6,2.71,-0.42,0.78
48,5.256,1458.1,752.8,466.7,189.7,2.481,1.488,-0.978,2.163,-1.218,950.2,623.1,243.3,781.7,3.9,-1.7,1.49,-0.59,0.67
49,5.311,967.1,549.8,-491.0,-203.0,0.045,2.593,-0.002,-2.436,1.106,959.6,621.3,260.0,785.7,9.4,-1.8,2.59,-0.29,0.83
50,5.355,1013.5,542.8,46.3,-7.1,0.513,2.616,0.142,0.468,0.022,959.6,621.3,260.0,785.7,0.0,0.0,2.62,-0.10,0.83
51,5.406,960.7,629.6,-52.7,86.8,0.010,2.630,-0.682,-0.503,0.015,983.9,618.3,245.0,788.1,24.3,-3.1,2.63,-0.08,0.84
52,5.455,1017.0,522.9,56.3,-106.6,0.568,2.861,0.276,0.558,0.231,996.6,615.0,236.2,787.9,12.7,-3.3,2.86,-0.33,0.83
53,5.504,1012.7,604.2,-4.3,81.2,0.506,2.854,-0.533,-0.062,-0.007,999.8,618.2,231.9,792.5,3.2,3.2,2.85,-0.59,0.82
54,5.554,1061.0,486.1,48.3,-118.1,1.053,3.116,0.637,0.547,0.262,1033.5,616.8,192.8,786.4,33.8,-1.4,3.12,-0.59,0.81
55,5.607,1002.0,596.7,-59.0,110.6,0.442,2.592,-0.280,-0.611,-0.524,1042.4,618.7,185.2,786.0,8.8,1.9,2.59,-0.35,0.82
56,5.655,976.6,662.3,-25.4,65.7,0.167,2.359,-0.825,-0.275,-0.233,1049.3,616.3,184.2,779.8,6.9,-2.4,2.36,0.15,0.83
57,5.710,999.6,595.9,23.0,-66.5,0.284,2.265,-0.379,0.117,-0.094,1057.5,616.1,191.1,781.3,8.2,-0.1,2.27,0.08,0.82
58,5.759,1007.6,558.8,8.0,-37.1,0.352,2.275,-0.097,0.068,0.010,1078.0,620.7,228.6,780.7,20.5,4.5,2.28,-0.00,0.80
59,5.806,985.1,621.4,-22.5,62.6,0.244,2.460,-0.485,-0.108,0.185,1083.3,621.1,240.2,778.1,5.3,0.4,2.46,-0.00,0.82
60,5.859,1010.2,596.2,25.2,-25.2,0.343,2.197,-0.404,0.099,-0.263,1085.5,620.8,246.8,780.0,2.2,-0.3,2.20,0.33,0.84
61,5.908,1012.6,584.6,2.4,-11.6,0.375,2.195,-0.288,0.031,-0.002,1087.4,623.1,251.9,777.9,1.8,2.3,2.19,0.47,0.85
62,5.966,1034.4,572.9,21.7,-11.7,0.479,2.034,-0.210,0.104,-0.161,1088.7,622.8,251.6,774.8,1.4,-0.3,2.03,0.59,0.87
63,6.006,995.2,647.9,-39.2,75.0,0.274,2.281,-0.740,-0.205,0.247,1088.7,622.8,251.6,774.8,0.0,0.0,2.28,0.39,0.87
64,6.060,1051.2,539.2,56.0,-108.7,0.645,2.265,-0.018,0.372,-0.016,1089.2,625.0,255.9,769.1,0.5,2.2,2.27,0.29,0.84
65,6.110,1043.0,534.5,-8.3,-4.7,0.563,2.168,0.052,-0.083,-0.098,1091.4,625.1,261.9,772.7,2.2,0.1,2.17,0.43,0.84
66,6.161,991.1,657.3,-51.9,122.7,0.235,2.415,-0.864,-0.327,0.248,1092.2,626.3,261.9,773.3,0.8,1.2,2.42,0.40,0.84
67,6.210,1054.3,554.4,63.2,-102.8,0.663,2.130,-0.055,0.428,-0.285,1092.4,626.4,259.5,770.1,0.2,0.1,2.13,0.47,0.85
68,6.257,778.2,389.9,-276.1,-164.5,-1.432,2.382,1.267,-2.095,0.251,1092.4,626.1,257.3,772.9,0.0,-0.3,2.38,0.00,0.66
69,6.309,1052.6,558.2,274.4,168.3,0.692,2.202,-0.040,2.123,-0.180,1094.7,627.6,258.9,771.8,2.3,1.6,2.20,0.59,0.86
70,6.359,1049.3,594.5,-3.3,36.3,0.616,2.299,-0.317,-0.076,0.097,1106.0,632.3,265.1,765.1,11.2,4.6,2.30,0.25,0.84
71,6.408,1030.0,600.9,-19.3,6.4,0.502,2.261,-0.396,-0.113,-0.038,1107.0,632.0,269.2,766.1,1.0,-0.3,2.26,0.44,0.84
72,6.458,1053.1,586.9,23.1,-14.0,0.691,2.300,-0.315,0.189,0.039,1123.2,633.3,254.0,761.3,16.2,1.4,2.30,0.35,0.85
73,6.509,1014.1,681.4,-39.0,94.5,0.463,2.421,-0.980,-0.228,0.121,1130.4,631.5,250.3,759.8,7.3,-1.8,2.42,0.27,0.85
74,6.559,999.8,765.3,-14.3,83.9,0.293,2.162,-1.535,-0.170,-0.259,1152.4,632.8,224.0,763.2,21.9,1.3,2.16,0.51,0.82
75,6.607,1057.3,626.2,57.5,-139.1,0.775,2.397,-0.598,0.482,0.234,1164.3,636.1,210.4,768.9,11.9,3.3,2.40,0.20,0.83
76,6.706,1166.3,532.3,109.0,-93.9,1.550,2.267,0.180,0.775,-0.130,1187.4,633.7,178.1,759.8,23.1,-2.4,2.27,0.49,0.85
77,6.756,1165.5,396.3,-0.8,-135.9,1.510,2.215,1.095,-0.041,-0.052,1189.6,633.2,181.0,755.2,2.2,-0.4,2.21,0.33,0.83
78,6.806,1116.8,421.4,-48.6,25.1,1.228,2.356,1.007,-0.282,0.141,1212.5,637.3,229.6,751.6,22.9,4.1,2.36,-0.00,0.80
79,6.859,1181.2,596.5,64.3,175.1,1.494,2.124,-0.159,0.267,-0.232,1225.0,637.8,257.5,749.0,12.5,0.4,2.12,-0.20,0.80
80,6.904,1234.8,802.3,53.7,205.8,1.767,1.953,-1.592,0.273,-0.171,1227.8,635.8,261.8,750.9,2.8,-2.0,1.95,-0.59,0.79
81,6.958,1107.9,433.9,-127.0,-368.4,1.282,2.600,0.943,-0.485,0.647,1202.2,635.6,222.2,753.9,-25.6,-0.2,2.60,0.00,0.80
82,7.007,1154.2,414.5,46.3,-19.4,1.462,2.334,1.027,0.180,-0.266,1202.1,636.0,228.5,754.3,-0.0,0.4,2.33,-0.35,0.83
83,7.104,1105.9,442.5,-48.3,28.0,1.183,2.442,0.866,-0.279,0.108,1210.1,634.6,231.8,753.3,8.0,-1.4,2.44,-0.59,0.84
84,7.155,1102.0,443.7,-3.8,1.3,1.351,2.851,0.982,0.168,0.409,1214.1,632.3,244.6,754.9,4.0,-2.3,2.85,0.20,0.85
85,7.207,1109.9,401.7,7.9,-42.1,1.280,2.584,1.236,-0.071,-0.267,1222.6,632.1,251.8,754.1,8.5,-0.2,2.58,0.00,0.86
86,7.256,1101.9,440.7,-8.0,39.0,1.323,2.795,0.993,0.043,0.212,1231.7,630.9,259.5,750.9,9.1,-1.2,2.80,0.00,0.85
87,7.304,1129.2,472.9,27.3,32.2,1.369,2.419,0.641,0.046,-0.376,1231.7,630.9,259.5,750.9,0.0,0.0,2.42,0.12,0.85
88,7.405,1152.8,452.8,23.6,-20.1,1.552,2.421,0.773,0.183,0.002,1241.8,629.9,280.1,763.2,10.1,-1.1,2.42,-0.20,0.86
89,7.456,1159.5,370.6,6.7,-82.2,1.494,2.242,1.336,-0.058,-0.179,1251.2,630.8,282.9,768.9,9.4,0.9,2.24,0.49,0.87
